File,Error
email/sample-5395.eml,argument of type 'Header' is not iterable
email/sample-1118.eml,argument of type 'Header' is not iterable
email/sample-4712.eml,argument of type 'Header' is not iterable
email/sample-1124.eml,argument of type 'Header' is not iterable
email/sample-4504.eml,argument of type 'Header' is not iterable
email/sample-769.eml,argument of type 'Header' is not iterable
email/sample-5154.eml,argument of type 'Header' is not iterable
email/sample-2798.eml,argument of type 'Header' is not iterable
email/sample-2983.eml,argument of type 'Header' is not iterable
email/sample-1520.eml,argument of type 'Header' is not iterable
email/sample-386.eml,argument of type 'Header' is not iterable
email/sample-392.eml,Object of type Header is not JSON serializable
email/sample-3874.eml,argument of type 'Header' is not iterable
email/sample-1093.eml,argument of type 'Header' is not iterable
email/sample-4699.eml,argument of type 'Header' is not iterable
email/sample-4100.eml,argument of type 'Header' is not iterable
email/sample-1050.eml,argument of type 'Header' is not iterable
email/sample-2559.eml,argument of type 'Header' is not iterable
email/sample-4128.eml,argument of type 'Header' is not iterable
email/sample-4882.eml,argument of type 'Header' is not iterable
email/sample-5222.eml,argument of type 'Header' is not iterable
email/sample-4883.eml,argument of type 'Header' is not iterable
email/sample-2558.eml,argument of type 'Header' is not iterable
email/sample-1051.eml,argument of type 'Header' is not iterable
email/sample-2570.eml,argument of type 'Header' is not iterable
email/sample-1079.eml,argument of type 'Header' is not iterable
email/sample-1092.eml,argument of type 'Header' is not iterable
email/sample-4854.eml,argument of type 'Header' is not iterable
email/sample-3861.eml,argument of type 'Header' is not iterable
email/sample-1441.eml,argument of type 'Header' is not iterable
email/sample-1131.eml,argument of type 'Header' is not iterable
email/sample-1125.eml,argument of type 'Header' is not iterable
email/sample-1858.eml,argument of type 'Header' is not iterable
email/sample-5369.eml,argument of type 'Header' is not iterable
email/sample-4711.eml,argument of type 'Header' is not iterable
email/sample-1127.eml,argument of type 'Header' is not iterable
email/sample-4513.eml,argument of type 'Header' is not iterable
email/sample-1457.eml,argument of type 'Header' is not iterable
email/sample-1523.eml,argument of type 'Header' is not iterable
email/sample-391.eml,Object of type Header is not JSON serializable
email/sample-4665.eml,argument of type 'Header' is not iterable
email/sample-346.eml,argument of type 'Header' is not iterable
email/sample-4881.eml,argument of type 'Header' is not iterable
email/sample-1053.eml,argument of type 'Header' is not iterable
email/sample-3123.eml,argument of type 'Header' is not iterable
email/sample-1052.eml,argument of type 'Header' is not iterable
email/sample-3889.eml,argument of type 'Header' is not iterable
email/sample-2229.eml,argument of type 'Header' is not iterable
email/sample-5591.eml,argument of type 'Header' is not iterable
email/sample-1091.eml,argument of type 'Header' is not iterable
email/sample-637.eml,argument of type 'Header' is not iterable
email/sample-5793.eml,argument of type 'Header' is not iterable
email/sample-5787.eml,argument of type 'Header' is not iterable
email/sample-5156.eml,argument of type 'Header' is not iterable
email/sample-1126.eml,argument of type 'Header' is not iterable
email/sample-5368.eml,argument of type 'Header' is not iterable
email/sample-5393.eml,argument of type 'Header' is not iterable
email/sample-3906.eml,argument of type 'Header' is not iterable
email/sample-1888.eml,argument of type 'Header' is not iterable
email/sample-4728.eml,argument of type 'Header' is not iterable
email/sample-1122.eml,argument of type 'Header' is not iterable
email/sample-4700.eml,argument of type 'Header' is not iterable
email/sample-2198.eml,argument of type 'Header' is not iterable
email/sample-3537.eml,argument of type 'Header' is not iterable
email/sample-2167.eml,argument of type 'Header' is not iterable
